INFO:NEGATIVE WORD LENGTH: DALI ID: 0056b60ad09c4f389d107868e2d5c149, index (from get_file_path): 3, text: lifei, word length: -84.44, line number: 115
INFO:LONG WORD LENGTH: DALI ID: 00c4f2efb0b143728113fad1a78d6ce3, index (from get_file_path): 7, text: why-y?, word length: 5.99, word index: 254
INFO:LONG WORD LENGTH: DALI ID: 00d9de583ea3498db32ee187f6b66dd6, index (from get_file_path): 10, text: laaa, word length: 6.20, word index: 125
INFO:LONG WORD LENGTH: DALI ID: 01419daf7da64fbcb9e989d030141fa4, index (from get_file_path): 19, text: yes, word length: 6.63, word index: 448
INFO:LONG WORD LENGTH: DALI ID: 014f1aecb83e4edaaa9f9031f1cdcb80, index (from get_file_path): 20, text: wind, word length: 7.52, word index: 285
INFO:LONG WORD LENGTH: DALI ID: 014f1aecb83e4edaaa9f9031f1cdcb80, index (from get_file_path): 20, text: roll, word length: 6.88, word index: 352
INFO:LONG WORD LENGTH: DALI ID: 015b9edf58af411db9e5ce80ae4a44fe, index (from get_file_path): 21, text: york, word length: 6.68, word index: 168
INFO:LONG WORD LENGTH: DALI ID: 01b0d474bb0d49628304969e12f53a18, index (from get_file_path): 24, text: immernichts, word length: 5.21, word index: 58
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: don't, word length: 0.52, line number: 0
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: just, word length: 0.39, line number: 1
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: close, word length: 0.65, line number: 2
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: your, word length: 0.52, line number: 3
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: mind, word length: 1.56, line number: 4
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: ooo, word length: 1.95, line number: 5
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: oo, word length: 1.95, line number: 6
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: you, word length: 0.39, line number: 7
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: don't, word length: 0.52, line number: 8
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: realize, word length: 2.61, line number: 9
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: i, word length: 0.26, line number: 10
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: just, word length: 0.39, line number: 11
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: want, word length: 0.26, line number: 12
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: what, word length: 0.26, line number: 13
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: is, word length: 0.26, line number: 14
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: right, word length: 0.39, line number: 15
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: still, word length: 0.26, line number: 16
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: you, word length: 0.26, line number: 17
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: say, word length: 0.52, line number: 18
INFO:NEGATIVE WORD START TIME: DALI ID: 026b507fbb5c41aaaa4ec0f8b20a30da, index (from get_file_path): 36, text: criticize, word length: 1.43, line number: 19
INFO:LONG WORD LENGTH: DALI ID: 03148079354444408bd9e7e4f57995d0, index (from get_file_path): 44, text: splendera, word length: 7.27, word index: 43
INFO:LONG WORD LENGTH: DALI ID: 03148079354444408bd9e7e4f57995d0, index (from get_file_path): 44, text: vincero, word length: 10.44, word index: 67
INFO:LONG WORD LENGTH: DALI ID: 0314e07bdfe74bfa87cd0b8b9aca3418, index (from get_file_path): 45, text: you, word length: 7.50, word index: 229
INFO:LONG WORD LENGTH: DALI ID: 034d75940d064dd3b6ea094e90116e4b, index (from get_file_path): 53, text: alone, word length: 5.36, word index: 174
INFO:LONG WORD LENGTH: DALI ID: 03bf00cbf8a446f6b75283bcdd568457, index (from get_file_path): 65, text: masterpiece, word length: 6.64, word index: 213
INFO:LONG WORD LENGTH: DALI ID: 03bf00cbf8a446f6b75283bcdd568457, index (from get_file_path): 65, text: art, word length: 6.41, word index: 239
INFO:LONG WORD LENGTH: DALI ID: 04079ffbcfc145cda6537ab1082c84ea, index (from get_file_path): 67, text: insiiiide, word length: 6.28, word index: 273
INFO:LONG WORD LENGTH: DALI ID: 046eb308496c4adaa9d3d700b5a92506, index (from get_file_path): 72, text: yeah, word length: 7.68, word index: 109
INFO:LONG WORD LENGTH: DALI ID: 04ea63c2d884424d97a5c46b37d6937e, index (from get_file_path): 83, text: 'round, word length: 7.32, word index: 62
INFO:LONG WORD LENGTH: DALI ID: 04ea63c2d884424d97a5c46b37d6937e, index (from get_file_path): 83, text: 'round, word length: 7.60, word index: 143
INFO:LONG WORD LENGTH: DALI ID: 050c5407c3cf421ea65c1d0dbc52137f, index (from get_file_path): 86, text: re-arra----nged, word length: 8.06, word index: 208
INFO:LONG WORD LENGTH: DALI ID: 059403b5f82447df8a1b9ceeee262d3e, index (from get_file_path): 91, text: see., word length: 6.49, word index: 126
